_id,rpa,regiao,bairro,local,qtdzonas,endereco,latitude,longitude
52,3,NOROESTE,Santana,Parque Santana ,3,Rua Jorge Gomes de Sá – Santana,-8.041396,-34.917456
53,4,OESTE ,Cordeiro,Arraial Bom Jesus,1,Rua Dezesseis de Outubro - Cordeiro,-8.057105,-34.930818
54,4,OESTE ,Cordeiro,Compaz Ariano Suassuna,17,"Avenida Gen. San Martin, 1208 - Cordeiro",-8.060148,-34.925968
55,4,OESTE ,Cordeiro,Mercado do Cordeiro,5,"Avenida Gen. San Martin, S/n – Cordeiro",-8.051979,-34.921436
56,4,OESTE ,Engenho do Meio,Praça do Engenho do Meio.,1,"R. Antônio Curado, S/N - Engenho do Meio, Recife - PE, 50730-180",-8.057078,-34.942975
57,4,OESTE ,Iputinga,Praça Vila União,1,Praça Nova Esperança - R. Sobral – Iputinga,-8.03072,-34.93292
58,4,OESTE ,Iputinga,Centro de Saúde Dr. José Dustan,1,"Rua Santa Lúcia, 320 – Iputinga",-8.038617,-34.931002
59,4,OESTE ,Iputinga,Parque do Caiara,2,"Av. Maurício de Nassau, 68, iputinga",-8.034886,-34.940390
60,4,OESTE ,Madalena,Mercado da Madalena,8,"Rua Real da Torre, s/n – Madalena",-8.052303,-34.908665
61,4,OESTE ,Madalena,Policlínica Lessa de Andrade,1,"Estrada dos Remédios, 2416 – Madalena",-8.058665,-34.907027
62,4,OESTE ,Torre,Praça Prof. Campelo Barreto,1,"Praça Prof. Barreto Campelo, Torre, Recife-PE, CEP 50710-290",-8.047388,-34.914400
63,4,OESTE ,Torrões,Praça Roda de Fogo,1,"Rua Artur Coutinho, esq. com a Rua Pedro de Sá,  Torrões",-8.058309,-34.937315
64,4,OESTE ,Várzea,Praça Pinto Damásio,1,Av. Afonso olindense - Várzea,-8.048421,-34.959414
65,5,SUDESTE,Afogados,Biblioteca de Afogados,1,Rua Jacira N. 1 – Afogados,-8.082281,-34.908077
66,5,SUDESTE,Afogados,Maternidade Bandeira Filho,1,"Rua Londrina, s/n – Afogados",-8.078977,-34.910799
67,5,SUDESTE,Afogados,Mercado de Afogados,1,"Estrada dos Remédios, S/N - Afogados ",-8.078282,-34.906574
68,5,SUDESTE,Afogados,Policlínica Agamenon Magalhães,1,"Avenida Sul Gov. Cid Sampaio, S/N – Afogados",-8.080644,-34.905611
70,5,SUDESTE,Curado,Jardim Botânico   Falta ligação entre o link e os rádios ,2,BR 232 – Km 7 – Curado,-8.076543,-34.965750
71,5,SUDESTE,Curado,Centro de Saúde Bido Krause,1,3a Travessa Onze de Agosto – Curado,-8.079473,-34.970229
72,5,SUDESTE,Jardim São Paulo,Praça de Jardim São Paulo,1,Praça de Jardim. São Paulo,-8.081628,-34.938393
73,5,SUDESTE,Jardim São Paulo,Praça do EI Salvador,1,"Rua Aguanil, 310 - 372 - Jardim São Paulo",-8.080480,-34.940206
74,5,SUDESTE,Mustardinha,Praça do ABC,1,"Rua Manoel antônio da Luz, em frente a escola Antônio de Brito Alves",-8.07348,-34.91847
75,5,SUDESTE,San Martín,Praça de San Martín,1,"Avenida Gal San Martin, San Martin",-8.071073,-34.928815
76,5,SUDESTE,Tejipió,Escola Municipal de Tejipió e a  Praça em frente da escola,1,"Rua Tutóia, 165 – Tejipió",-8.091948,-34.964498
77,6,SUL,Boa Viagem,"Avenida Boa Viagem, 1º Jardim",1,"Avenida Boa Viagem, 1º Jardim",-8.102244,-34.885692
78,6,SUL,Boa Viagem,"Avenida Boa Viagem, 2º Jardim",1,"Avenida Boa Viagem, 2º Jardim",-8.104915,-34.887012
79,6,SUL,Boa Viagem,"Avenida Boa Viagem, 3º Jardim",1,"Avenida Boa Viagem, 3º Jardim",-8.108735,-34.888694
80,6,SUL,Boa Viagem,Em frente ao Hotel Transamérica,1,"Avenida Boa Viagem,  nº 420,  em frente ao H. Transamérica",-8.095423,-34.882937
81,6,SUL,Boa Viagem,Quiosque 3,1,Em frente as quadras de tênis,-8.099626,-34.884305
82,6,SUL,Boa Viagem,Quiosque 16,1,"Avenida Boa Viagem,  nº 2632, Edf. Maria Francisca",-8.113746,-34.890985
83,6,SUL,Boa Viagem,Quiosque 18,1,"Em frente ao Nº 2846, Padaria Boa Viagem",-8.115236,-34.892012
